step:,cumulative_err:,CTE:,Steering:,Speed:,throttle:
237,70.6052,-0.7203,0.0337531,7.9128,0.1
238,71.1412,-0.7321,0.0383792,7.9367,0.1
239,71.6941,-0.7436,0.039781,7.9606,0.1
240,72.2527,-0.7474,0.0374547,7.9685,0.1
241,72.8169,-0.7511,0.0381602,7.9764,0.1
242,73.3974,-0.7619,0.0424612,8,0.1
243,73.994,-0.7724,0.0437774,8.0234,0.1
244,74.6061,-0.7824,0.0449686,8.0467,0.1
245,75.2331,-0.7918,0.0460645,8.0698,0.1
246,75.8745,-0.8009,0.0472549,8.0928,0.1
247,76.5427,-0.8174,0.0522736,8.1384,0.1
248,77.2233,-0.825,0.0498861,8.161,0.1
249,77.9152,-0.8318,0.050662,8.1833,0.1
250,78.6156,-0.8369,0.0509105,8.2057,0.1
251,79.322,-0.8405,0.0510907,8.2278,0.1
252,80.0317,-0.8424,0.0510219,8.2499,0.1
253,80.7416,-0.8426,0.0507832,8.2572,0.1
254,81.4518,-0.8427,0.0511746,8.2645,0.1
255,82.1606,-0.8419,0.0511555,8.2863,0.1
256,82.8545,-0.833,0.047442,8.3367,0.1
257,83.545,-0.831,0.0504175,8.3439,0.1
258,84.2321,-0.8289,0.050582,8.351,0.1
259,84.9152,-0.8265,0.0506352,8.3581,0.1
260,85.585,-0.8184,0.0479544,8.3793,0.1
261,86.2395,-0.809,0.0468989,8.4005,0.1
262,86.878,-0.7991,0.0461085,8.4215,0.1
263,87.5056,-0.7922,0.0470146,8.4354,0.1
264,88.1165,-0.7816,0.0448654,8.4562,0.1
265,88.71,-0.7704,0.0438906,8.4769,0.1
266,89.2917,-0.7627,0.0449019,8.4906,0.1
267,89.7586,-0.6833,0.00862355,8.6113,0.1
268,90.2053,-0.6683,0.0332177,8.6309,0.1
269,90.6261,-0.6487,0.0297421,8.657,0.1
270,91.0404,-0.6437,0.0354039,8.6634,0.1
271,91.4484,-0.6387,0.0352233,8.6699,0.1
272,91.8367,-0.6232,0.0297849,8.689,0.1
273,92.2053,-0.6071,0.0282384,8.7082,0.1
274,92.5672,-0.6016,0.0322292,8.7145,0.1
275,92.9028,-0.5793,0.0235689,8.74,0.1
276,93.2318,-0.5736,0.0299257,8.7463,0.1
277,93.5543,-0.5679,0.0296396,8.7526,0.1
278,93.8574,-0.5505,0.0234949,8.7714,0.1
279,94.1412,-0.5327,0.0218212,8.79,0.1
280,94.3996,-0.5084,0.0170454,8.8149,0.1
281,94.6396,-0.4899,0.0177604,8.8333,0.1
282,94.8735,-0.4836,0.0222522,8.8394,0.1
283,95.0895,-0.4648,0.0156046,8.8577,0.1
284,95.2881,-0.4456,0.0137474,8.8759,0.1
285,95.4697,-0.4261,0.0118904,8.894,0.1
286,95.6348,-0.4064,0.0100436,8.9119,0.1
287,95.7947,-0.3998,0.0148235,8.9179,0.1
288,95.9441,-0.3866,0.0110568,8.9298,0.1
289,96.0784,-0.3664,0.00642,8.9475,0.1
290,96.1981,-0.346,0.004473,8.9651,0.1
291,96.304,-0.3254,0.0024957,8.9826,0.1
292,96.3968,-0.3047,0.00053805,9,0.1
293,96.4774,-0.2839,-0.00144,9.0173,0.1
294,96.5541,-0.277,0.0035685,9.023,0.1
295,96.627,-0.27,0.0029635,9.0288,0.1
296,96.689,-0.2489,-0.00466205,9.0458,0.1
297,96.7345,-0.2134,-0.0138653,9.0741,0.1
298,96.7714,-0.1921,-0.0102193,9.0909,0.1
299,96.8006,-0.1708,-0.0122639,9.1076,0.1
300,96.823,-0.1496,-0.0142691,9.1243,0.1
301,96.8395,-0.1284,-0.0163249,9.1408,0.1
302,96.8525,-0.1142,-0.0148878,9.1517,0.1
303,96.8612,-0.093,-0.0197613,9.168,0.1
304,96.8663,-0.0717,-0.0218954,9.1843,0.1
305,96.8689,-0.0506,-0.0239001,9.2004,0.1
306,96.8708,-0.0435,-0.0189884,9.2058,0.1
307,96.8716,-0.0295,-0.0231336,9.2165,0.1
308,96.8721,-0.0225,-0.0210224,9.2218,0.1
309,96.8721,-0.0016,-0.0286716,9.2377,0.1
310,96.8725,0.0194,-0.0308213,9.2535,0.1
311,96.8736,0.0333,-0.0293879,9.264,0.1
